customer_order_id,date_of_order,order_status,sales_rep,product_count_units,product_count_cases,total,paid,buyer_licenses
BC 18575,2024-11-18 5:51 PM,Submitted,Nathan Eckhart,716,17,"$3,127.76",FALSE,AU-R-001294
BC 18574,2024-11-18 4:32 PM,Shipped,Zak Young,250,4,"$3,480.10",FALSE,AU-R-000981
BC 18573,2024-11-18 1:07 PM,Accepted,Patrick Savich,7145,119,"$93,090.10",FALSE,AU-P-000394
BC 18572,2024-11-18 12:05 PM,Shipped,Patrick Savich,300,5,"$4,050.00",FALSE,AU-R-001279
BC 18571,2024-11-18 12:05 PM,Shipped,Patrick Savich,300,5,"$4,230.00",FALSE,AU-R-000568
BC 18570,2024-11-18 11:16 AM,Shipped,Patrick Savich,242,1,"$2,553.85",FALSE,AU-R-001272
BC 18569,2024-11-18 11:10 AM,Shipped,Zak Young,421,10,"$4,372.60",FALSE,AU-R-001114
BC 18568,2024-11-18 11:03 AM,Shipped,Zak Young,661,14,"$7,462.60",FALSE,AU-R-000551
BC 18567,2024-11-18 10:51 AM,Shipped,Zak Young,1122,23,"$14,032.60",FALSE,AU-R-000282
BC 18566,2024-11-18 10:46 AM,Shipped,Zak Young,1342,27,"$13,037.60",FALSE,AU-R-000103
BC 18565,2024-11-18 10:24 AM,Shipped,Dominic Mika,2700,54,$150.54,FALSE,AU-P-000518
BC 18564,2024-11-18 9:03 AM,Shipped,Matt Marziali,180,3,"$2,760.00",FALSE,AU-R-000534
BC 18563,2024-11-18 9:02 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000215
BC 18562,2024-11-18 9:02 AM,Shipped,Matt Marziali,420,7,"$6,090.00",FALSE,AU-R-000304
BC 18561,2024-11-18 9:01 AM,Shipped,Matt Marziali,180,3,"$2,760.00",FALSE,AU-R-000615
BC 18560,2024-11-18 9:00 AM,Shipped,Matt Marziali,360,6,"$5,220.00",FALSE,AU-R-001086
BC 18559,2024-11-18 8:59 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000490
BC 18558,2024-11-18 8:58 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-001013
BC 18557,2024-11-18 8:58 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000541
BC 18556,2024-11-18 8:56 AM,Shipped,Matt Marziali,300,5,"$4,350.00",FALSE,AU-R-001064
BC 18555,2024-11-18 8:56 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000592
BC 18554,2024-11-18 8:55 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000606
BC 18553,2024-11-18 8:42 AM,Fulfilled,Zak Young,50,2,$690.10,FALSE,AU-R-000745
BC 18552,2024-11-17 11:46 AM,Submitted,Zak Young,370,8,"$3,310.10",FALSE,AU-R-000860
BC 18551,2024-11-17 11:44 AM,Submitted,Zak Young,320,7,"$3,022.60",FALSE,AU-R-000603
BC 18550,2024-11-17 11:42 AM,Submitted,Zak Young,370,8,"$3,310.10",FALSE,AU-R-000821
BC 18549,2024-11-16 5:17 PM,Shipped,Patrick Savich,360,6,"$4,860.00",FALSE,AU-R-001191
BC 18547,2024-11-15 5:15 PM,Backorder,Thomas Groot II,1,0,$0.00,FALSE,AU-R-001298
BC 18546,2024-11-15 4:45 PM,Shipped,Dominic Mika,80,4,$0.04,FALSE,AU-R-000657
BC 18545,2024-11-15 3:33 PM,Shipped,Patrick Savich,374,6,"$5,100.12",FALSE,AU-R-001305
BC 18544,2024-11-15 12:16 PM,Shipped,Zak Young,841,16,"$9,267.60",FALSE,AU-P-000128
BC 18543,2024-11-15 11:40 AM,Shipped,Zak Young,611,10,"$8,700.10",FALSE,AU-R-000159
BC 18542,2024-11-14 5:43 PM,Submitted,Nathan Eckhart,892,16,"$12,360.10",FALSE,AU-R-001318
BC 18541,2024-11-14 5:42 PM,Shipped,Zak Young,832,15,"$11,280.10",FALSE,AU-P-000404
BC 18540,2024-11-14 5:37 PM,Submitted,Nathan Eckhart,672,11,"$9,330.10",FALSE,AU-R-001293
BC 18538,2024-11-14 3:31 PM,Shipped,Dominic Mika,10000,200,"$52,500.00",FALSE,AU-P-000518
BC 18537,2024-11-14 1:54 PM,Submitted,Patrick Savich,60,1,$960.00,FALSE,AU-R-001004
BC 18536,2024-11-14 1:49 PM,Complete,Nathan Eckhart,351,7,"$4,650.10",FALSE,AU-R-000600
BC 18535,2024-11-14 12:33 PM,Shipped,Zak Young,1912,33,"$26,400.10",FALSE,AU-R-001313
BC 18531,2024-11-14 8:57 AM,Shipped,Zak Young,301,2,"$3,647.60",FALSE,AU-R-000714
BC 18530,2024-11-13 8:22 PM,Shipped,Zak Young,581,13,"$5,937.60",FALSE,AU-R-000849
BC 18529,2024-11-13 8:18 PM,Shipped,Zak Young,401,8,"$4,997.60",FALSE,AU-R-000527
BC 18528,2024-11-13 8:12 PM,Shipped,Zak Young,631,14,"$6,225.10",FALSE,AU-R-000302
BC 18527,2024-11-13 8:06 PM,Shipped,Zak Young,1171,23,"$13,575.10",FALSE,AU-R-000638
BC 18526,2024-11-13 4:20 PM,Backorder,Zak Young,1,0,$0.00,FALSE,AU-R-001114
BC 18523,2024-11-13 1:31 PM,Shipped,Patrick Savich,3002,50,"$41,940.00",FALSE,AU-P-000445
BC 18522,2024-11-13 12:11 PM,Shipped,Zak Young,472,9,"$6,630.10",FALSE,AU-R-000550
BC 18520,2024-11-13 10:54 AM,Complete,Zak Young,410,8,"$5,460.09",FALSE,AU-R-000704
BC 18519,2024-11-13 9:39 AM,Shipped,Zak Young,281,3,"$3,377.60",FALSE,AU-R-000754
BC 18518,2024-11-12 7:03 PM,Shipped,Dominic Mika,8760,186,"$98,164.25",FALSE,AU-P-000518
BC 18515,2024-11-12 2:43 PM,Shipped,Nathan Eckhart,1762,29,"$24,450.21",FALSE,AU-R-000933
BC 18514,2024-11-12 1:13 PM,Shipped,Patrick Savich,412,8,"$5,580.12",FALSE,AU-R-000920
BC 18513,2024-11-12 11:26 AM,Shipped,Nathan Eckhart,480,8,"$6,510.00",FALSE,AU-R-000943
BC 18512,2024-11-12 11:07 AM,Submitted,Zak Young,480,8,"$6,660.00",FALSE,AU-R-001065
BC 18510,2024-11-12 10:26 AM,Complete,Nathan Eckhart,411,8,"$5,640.10",FALSE,AU-R-000130
BC 18509,2024-11-12 9:40 AM,Shipped,Zak Young,311,5,"$4,290.10",FALSE,AU-R-000734
BC 18508,2024-11-11 6:10 PM,Shipped,Nathan Eckhart,780,13,"$10,620.00",FALSE,AU-R-001051
BC 18507,2024-11-11 5:34 PM,Shipped,Nathan Eckhart,920,17,"$8,965.00",FALSE,AU-R-001138
BC 18506,2024-11-11 4:12 PM,Shipped,Patrick Savich,2060,37,"$20,345.00",FALSE,AU-P-000422
BC 18505,2024-11-11 4:05 PM,Shipped,Zak Young,371,6,"$5,040.10",FALSE,AU-R-000433
BC 18502,2024-11-11 4:02 PM,Shipped,Zak Young,431,7,"$5,910.10",FALSE,AU-R-000284
BC 18501,2024-11-11 4:00 PM,Shipped,Zak Young,371,6,"$5,100.10",FALSE,AU-R-000622
BC 18500,2024-11-11 3:55 PM,Shipped,Zak Young,611,10,"$8,460.10",FALSE,AU-R-000303
BC 18499,2024-11-11 3:46 PM,Submitted,Zak Young,710,13,"$9,870.10",FALSE,AU-R-001057
BC 18498,2024-11-11 3:42 PM,Shipped,Zak Young,1509,25,"$21,270.09",FALSE,AU-P-000392
BC 18497,2024-11-11 3:36 PM,Shipped,Patrick Savich,280,6,"$3,780.00",FALSE,AU-R-001259
BC 18496,2024-11-11 3:33 PM,Submitted,Breeze Canna Sales,750,13,"$9,382.50",FALSE,AU-R-001004
BC 18495,2024-11-11 2:39 PM,Complete,Patrick Savich,260,5,"$3,750.00",TRUE,AU-R-000150
BC 18494,2024-11-11 2:15 PM,Shipped,Thomas Groot II,293,2,"$3,647.51",FALSE,AU-R-001298
BC 18493,2024-11-11 1:24 PM,Shipped,Nathan Eckhart,405,8,"$5,310.05",FALSE,AU-R-000387
BC 18492,2024-11-11 1:14 PM,Shipped,Patrick Savich,660,11,"$9,330.00",FALSE,AU-R-001271
BC 18491,2024-11-11 1:11 PM,Complete,Nathan Eckhart,773,14,"$10,680.10",TRUE,AU-R-000697
BC 18490,2024-11-11 12:59 PM,Shipped,Nathan Eckhart,360,6,"$4,980.00",FALSE,AU-P-000101
BC 18489,2024-11-11 12:37 PM,Shipped,Nathan Eckhart,488,8,"$6,720.08",FALSE,AU-R-000917
BC 18488,2024-11-11 11:10 AM,Complete,Nathan Eckhart,1140,20,"$12,855.00",TRUE,AU-R-000521
BC 18487,2024-11-08 3:20 PM,Submitted,Patrick Savich,360,6,"$5,160.00",FALSE,AU-R-000290
BC 18486,2024-11-08 3:03 PM,Shipped,Patrick Savich,420,7,"$5,910.00",FALSE,AU-R-000924
BC 18484,2024-11-08 1:34 PM,Shipped,Zak Young,472,9,"$6,364.80",FALSE,AU-R-000595
BC 18483,2024-11-08 1:33 PM,Shipped,Zak Young,330,8,"$4,320.09",FALSE,AU-R-000753
BC 18482,2024-11-08 1:33 PM,Shipped,Zak Young,231,7,"$2,970.10",FALSE,AU-R-000435
BC 18479,2024-11-08 1:30 PM,Shipped,Zak Young,231,7,"$2,695.20",FALSE,AU-R-000321
BC 18477,2024-11-08 1:28 PM,Complete,Nathan Eckhart,262,7,"$3,510.00",TRUE,AU-R-001202
BC 18476,2024-11-08 1:28 PM,Shipped,Zak Young,300,9,"$4,050.00",FALSE,AU-P-000413
BC 18475,2024-11-08 1:25 PM,Shipped,Zak Young,910,17,"$11,020.10",FALSE,AU-R-000958
BC 18474,2024-11-08 1:23 PM,Shipped,Zak Young,50,2,$540.10,FALSE,AU-R-000591
BC 18472,2024-11-08 1:22 PM,Complete,Nathan Eckhart,262,7,"$3,510.00",TRUE,AU-R-000826
BC 18471,2024-11-08 1:22 PM,Shipped,Zak Young,312,9,"$4,050.10",FALSE,AU-R-000805
BC 18470,2024-11-08 1:19 PM,Shipped,Zak Young,250,6,"$2,212.50",FALSE,AU-R-000352
BC 18469,2024-11-08 1:14 PM,Shipped,Zak Young,272,7,"$3,510.10",FALSE,AU-R-000895
BC 18468,2024-11-08 1:12 PM,Shipped,Zak Young,373,10,"$4,860.10",FALSE,AU-R-000391
BC 18467,2024-11-08 1:10 PM,Shipped,Zak Young,612,14,"$5,060.10",FALSE,AU-R-000894
BC 18466,2024-11-08 12:24 PM,Shipped,Nathan Eckhart,480,8,"$6,900.00",FALSE,AU-R-000236
BC 18465,2024-11-08 12:19 PM,Shipped,Nathan Eckhart,420,7,"$5,790.00",FALSE,AU-R-000342
BC 18464,2024-11-08 12:14 PM,Shipped,Nathan Eckhart,540,9,"$7,470.00",FALSE,AU-RA-001073
BC 18463,2024-11-08 11:52 AM,Shipped,Nathan Eckhart,780,13,"$10,830.00",FALSE,AU-R-000691
BC 18462,2024-11-08 11:36 AM,Shipped,Nathan Eckhart,600,10,"$8,400.00",FALSE,AU-R-000659
BC 18461,2024-11-08 11:01 AM,Shipped,Nathan Eckhart,782,17,"$6,385.20",FALSE,AU-R-000933
BC 18460,2024-11-08 10:54 AM,Complete,Nathan Eckhart,382,13,"$5,130.00",TRUE,AU-R-000990
BC 18459,2024-11-08 10:33 AM,Shipped,Zak Young,471,9,"$6,390.10",FALSE,AU-R-001048
BC 18458,2024-11-08 10:22 AM,Complete,Nathan Eckhart,260,7,"$3,630.00",TRUE,AU-R-000936
BC 18457,2024-11-08 10:19 AM,Complete,Nathan Eckhart,693,18,"$9,180.10",TRUE,AU-R-000542
BC 18456,2024-11-07 3:22 PM,Shipped,Zak Young,701,10,"$8,957.60",FALSE,AU-R-000801
BC 18454,2024-11-07 1:38 PM,Shipped,Zak Young,872,19,"$6,960.10",FALSE,AU-R-000831
BC 18453,2024-11-07 1:36 PM,Shipped,Zak Young,1052,22,"$6,290.10",FALSE,AU-R-001205
BC 18452,2024-11-07 1:32 PM,Shipped,Zak Young,912,19,"$5,950.10",FALSE,AU-R-0001169
BC 18451,2024-11-07 1:30 PM,Shipped,Zak Young,672,14,"$5,035.10",FALSE,AU-R-000876
BC 18450,2024-11-07 12:01 PM,Shipped,Zak Young,950,17,"$13,290.10",FALSE,AU-R-000702
BC 18449,2024-11-07 12:01 PM,Shipped,Zak Young,1310,23,"$18,000.10",FALSE,AU-R-000635
BC 18448,2024-11-07 12:01 PM,Shipped,Zak Young,1129,20,"$15,840.09",FALSE,AU-R-000519
BC 18447,2024-11-07 10:07 AM,Shipped,Zak Young,1974,34,"$27,270.10",FALSE,AU-R-001323
BC 18446,2024-11-06 1:10 PM,Shipped,Zak Young,410,8,"$5,700.10",FALSE,AU-R-000716
BC 18445,2024-11-06 9:56 AM,Shipped,"Dominic Mika, Patrick Savich, Matt Marziali",1050,19,"$9,915.10",FALSE,AU-R-000420
BC 18442,2024-11-05 4:38 PM,Shipped,Nathan Eckhart,1000,20,"$5,750.00",FALSE,AU-R-000740
BC 18441,2024-11-05 4:09 PM,Shipped,Nathan Eckhart,480,8,"$6,660.00",FALSE,AU-R-001198
BC 18440,2024-11-05 3:40 PM,Complete,Nathan Eckhart,280,6,"$3,900.00",TRUE,AU-R-000952
BC 18439,2024-11-05 3:35 PM,Complete,Nathan Eckhart,783,17,"$10,650.00",TRUE,AU-R-000142
BC 18437,2024-11-05 3:19 PM,Complete,Nathan Eckhart,623,13,"$8,490.00",TRUE,AU-R-000767
BC 18436,2024-11-05 3:07 PM,Complete,Nathan Eckhart,293,6,"$3,960.10",TRUE,AU-R-000538
BC 18435,2024-11-05 3:06 PM,Complete,Nathan Eckhart,2818,48,"$38,880.15",TRUE,AU-R-001078
BC 18434,2024-11-05 2:25 PM,Complete,Nathan Eckhart,813,24,"$10,800.10",TRUE,AU-P-000399
BC 18431,2024-11-05 1:55 PM,Shipped,Nathan Eckhart,842,18,"$11,430.00",FALSE,AU-R-000427
BC 18429,2024-11-05 12:21 PM,Complete,Nathan Eckhart,1980,33,"$27,810.00",TRUE,AU-P-000272
BC 18428,2024-11-05 11:04 AM,Shipped,Nathan Eckhart,3675,65,"$51,210.15",FALSE,AU-P-000490
BC 18426,2024-11-04 4:17 PM,Shipped,Nathan Eckhart,1000,20,"$5,750.00",FALSE,AU-R-000557
BC 18425,2024-11-04 12:25 PM,Shipped,Nathan Eckhart,370,6,"$4,920.10",FALSE,AU-R-000633
BC 18424,2024-11-04 11:37 AM,Shipped,Breeze Canna Sales,1520,27,"$17,485.00",FALSE,AU-P-000481
BC 18422,2024-11-04 10:08 AM,Shipped,Zak Young,360,6,"$5,160.00",FALSE,AU-R-000732
BC 18421,2024-11-04 9:10 AM,Shipped,Matt Marziali,60,1,"$1,020.00",FALSE,AU-R-001070
BC 18420,2024-11-04 9:10 AM,Shipped,Matt Marziali,60,1,"$1,020.00",FALSE,AU-R-000337
BC 18419,2024-11-04 9:09 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000304
BC 18418,2024-11-04 9:08 AM,Shipped,Matt Marziali,180,3,"$2,760.00",FALSE,AU-R-001086
BC 18417,2024-11-04 9:07 AM,Shipped,Matt Marziali,60,1,"$1,020.00",FALSE,AU-R-000490
BC 18416,2024-11-04 9:06 AM,Shipped,Matt Marziali,60,1,"$1,020.00",FALSE,AU-R-000541
BC 18415,2024-11-02 11:26 AM,Complete,Zak Young,800,16,"$4,600.00",TRUE,AU-R-000282
BC 18413,2024-11-01 10:08 AM,Shipped,Zak Young,1491,26,"$20,310.10",FALSE,AU-R-000263
BC 18412,2024-10-31 4:19 PM,Complete,Zak Young,252,4,"$3,480.10",FALSE,AU-R-001105
BC 18411,2024-10-31 1:56 PM,Complete,Nathan Eckhart,540,9,"$7,590.00",TRUE,AU-R-000253
BC 18410,2024-10-31 1:49 PM,Shipped,Nathan Eckhart,1140,19,"$14,100.01",FALSE,AU-P-000391
BC 18409,2024-10-31 1:44 PM,Shipped,Nathan Eckhart,1200,20,"$15,210.01",FALSE,AU-R-001133
BC 18408,2024-10-31 11:00 AM,Shipped,Zak Young,630,11,"$6,790.10",FALSE,AU-R-001024
BC 18407,2024-10-31 9:52 AM,Shipped,Casey Berg,240,1,"$2,837.60",FALSE,AU-R-000786
BC 18406,2024-10-31 9:45 AM,Shipped,Casey Berg,240,1,"$2,837.60",FALSE,AU-R-000222
BC 18405,2024-10-31 9:32 AM,Shipped,Casey Berg,240,1,"$2,837.60",FALSE,AU-R-000787
BC 18403,2024-10-30 2:34 PM,Complete,Nathan Eckhart,1320,22,"$18,480.00",TRUE,AU-P-000272
BC 18402,2024-10-30 12:47 PM,Shipped,Nathan Eckhart,248,4,"$3,360.08",FALSE,AU-R-000892
BC 18401,2024-10-30 11:26 AM,Complete,Nathan Eckhart,755,13,"$8,560.15",TRUE,AU-R-000542
BC 18400,2024-10-30 10:54 AM,Shipped,Zak Young,530,10,"$6,780.20",FALSE,AU-R-000653
BC 18399,2024-10-30 10:53 AM,Complete,Nathan Eckhart,550,9,"$7,470.10",TRUE,AU-R-000225
BC 18398,2024-10-30 9:26 AM,Complete,Zak Young,730,12,"$10,140.10",TRUE,AU-R-000291
BC 18397,2024-10-29 7:35 PM,Shipped,Zak Young,370,6,"$4,662.90",FALSE,AU-R-000325
BC 18396,2024-10-29 7:33 PM,Shipped,Zak Young,790,13,"$10,500.10",FALSE,AU-R-000753
BC 18395,2024-10-29 7:28 PM,Shipped,Zak Young,1010,18,"$13,860.10",FALSE,AU-R-000503
BC 18394,2024-10-29 7:22 PM,Shipped,Zak Young,830,15,"$11,430.10",FALSE,AU-R-001001
BC 18393,2024-10-29 5:33 PM,Complete,Nathan Eckhart,1030,17,"$14,430.10",TRUE,AU-R-001202
BC 18392,2024-10-29 5:23 PM,Complete,Nathan Eckhart,1210,20,"$16,920.10",TRUE,AU-R-000826
BC 18390,2024-10-29 4:18 PM,Complete,Nathan Eckhart,910,15,"$12,570.10",TRUE,AU-R-000767
BC 18389,2024-10-29 1:57 PM,Backorder,Nathan Eckhart,10,0,$0.10,FALSE,AU-R-000833
BC 18386,2024-10-29 1:15 PM,Complete,Zak Young,1060,19,"$11,287.60",TRUE,AU-R-000551
BC 18385,2024-10-29 12:38 PM,Shipped,Nathan Eckhart,550,9,"$7,510.20",FALSE,AU-R-000188
BC 18384,2024-10-29 11:40 AM,Shipped,Dominic Mika,120,2,$150.02,FALSE,AU-R-001287
BC 18383,2024-10-29 11:11 AM,Shipped,Zak Young,550,9,"$7,380.10",FALSE,AU-R-000200
BC 18381,2024-10-28 3:41 PM,Shipped,Nathan Eckhart,730,12,"$9,870.10",FALSE,AU-R-001051
BC 18380,2024-10-28 2:45 PM,Shipped,Casey Berg,737,12,"$10,080.15",FALSE,AU-R-001311
BC 18379,2024-10-28 2:18 PM,Shipped,Zak Young,480,8,"$6,780.00",FALSE,AU-P-000404
BC 18376,2024-10-28 9:54 AM,Complete,Breeze Canna Sales,468,2,"$5,675.08",TRUE,AU-R-001279
BC 18375,2024-10-28 7:37 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000746
BC 18374,2024-10-28 7:37 AM,Shipped,Matt Marziali,180,3,"$2,760.00",FALSE,AU-R-000215
BC 18373,2024-10-28 7:36 AM,Shipped,Matt Marziali,60,1,"$1,020.00",FALSE,AU-R-000490
BC 18372,2024-10-28 7:35 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000178
BC 18371,2024-10-28 7:35 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-001064
BC 18370,2024-10-28 7:34 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000606
BC 18368,2024-10-25 2:28 PM,Complete,Breeze Canna Sales,485,8,"$6,660.05",TRUE,AU-R-000568
BC 18367,2024-10-25 2:10 PM,Shipped,Breeze Canna Sales,1140,20,"$13,545.00",FALSE,AU-R-000585
BC 18365,2024-10-24 9:53 AM,Complete,Nathan Eckhart,960,19,"$5,462.60",TRUE,AU-R-000225
BC 18364,2024-10-23 2:22 PM,Shipped,Nathan Eckhart,370,6,"$4,860.10",FALSE,AU-R-000233
BC 18363,2024-10-23 10:33 AM,Complete,Nathan Eckhart,370,6,"$5,220.10",TRUE,AU-R-001243
BC 18362,2024-10-23 9:38 AM,Shipped,Zak Young,1090,21,"$11,245.10",FALSE,AU-R-001012
BC 18359,2024-10-22 1:03 PM,Complete,Nathan Eckhart,420,7,"$5,970.00",TRUE,AU-P-000101
BC 18358,2024-10-22 12:22 PM,Complete,Breeze Canna Sales,580,10,"$7,175.00",TRUE,AU-R-001004
BC 18357,2024-10-22 11:45 AM,Complete,Nathan Eckhart,1132,20,"$12,200.00",TRUE,AU-R-000718
BC 18356,2024-10-22 11:25 AM,Complete,Nathan Eckhart,1992,33,"$27,330.12",TRUE,AU-R-000538
BC 18355,2024-10-22 8:27 AM,Shipped,Breeze Canna Sales,1360,25,"$13,295.00",FALSE,AU-P-000481
BC 18354,2024-10-21 6:27 PM,Complete,Zak Young,551,10,"$5,205.10",TRUE,AU-R-000539
BC 18353,2024-10-21 2:43 PM,Complete,Dominic Mika,3780,70,"$33,285.00",TRUE,AU-R-001210
BC 18352,2024-10-21 10:40 AM,Shipped,Zak Young,1510,25,"$20,490.10",FALSE,AU-R-000359
BC 18351,2024-10-21 10:25 AM,Shipped,Matt Marziali,180,3,"$2,760.00",FALSE,AU-R-000304
BC 18350,2024-10-21 10:24 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000615
BC 18349,2024-10-21 10:23 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-001086
BC 18348,2024-10-21 10:23 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000368
BC 18347,2024-10-21 10:20 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-000251
BC 18346,2024-10-21 10:19 AM,Shipped,Matt Marziali,120,2,"$1,890.00",FALSE,AU-R-001015
BC 18345,2024-10-21 7:35 AM,Complete,Dominic Mika,9000,180,"$47,250.00",TRUE,AU-P-000518
BC 18344,2024-10-18 1:19 PM,Shipped,Zak Young,310,5,"$4,350.10",FALSE,AU-R-000163
BC 18342,2024-10-18 1:08 PM,Shipped,Nathan Eckhart,420,7,"$5,790.00",FALSE,AU-R-000370
BC 18341,2024-10-18 10:52 AM,Shipped,Nathan Eckhart,730,12,"$10,200.10",FALSE,AU-R-001193
BC 18338,2024-10-18 10:43 AM,Complete,Casey Berg,680,12,"$6,945.20",TRUE,AU-R-000410
BC 18337,2024-10-17 5:56 PM,Complete,Nathan Eckhart,4820,80,"$66,840.20",TRUE,AU-P-000399
BC 18336,2024-10-17 1:42 PM,Shipped,Breeze Canna Sales,900,15,"$11,827.30",FALSE,AU-R-000902
BC 18335,2024-10-17 1:12 PM,Shipped,Zak Young,240,4,"$2,711.30",FALSE,AU-R-000153
BC 18333,2024-10-16 6:20 PM,Shipped,Zak Young,300,5,"$3,767.60",FALSE,AU-P-000128
BC 18332,2024-10-16 6:19 PM,Shipped,Zak Young,370,6,"$4,980.10",FALSE,AU-R-000849
BC 18331,2024-10-16 6:15 PM,Shipped,Zak Young,590,10,"$7,175.10",FALSE,AU-R-000638
BC 18330,2024-10-16 6:11 PM,Shipped,Zak Young,590,10,"$7,175.10",FALSE,AU-R-000302
BC 18328,2024-10-16 3:33 PM,Complete,Nathan Eckhart,1270,21,"$17,550.10",TRUE,AU-R-000952
BC 18327,2024-10-16 2:10 PM,Complete,Nathan Eckhart,2460,41,"$34,470.00",TRUE,AU-P-000272
BC 18326,2024-10-16 1:50 PM,Complete,Nathan Eckhart,1330,22,"$18,420.10",TRUE,AU-R-001009
BC 18325,2024-10-16 12:15 PM,Shipped,Dustin Link,360,6,"$4,860.00",FALSE,AU-R-001063
BC 18323,2024-10-16 9:50 AM,Shipped,Zak Young,432,7,"$5,640.10",FALSE,AU-R-000603
BC 18321,2024-10-15 9:24 PM,Shipped,Zak Young,1390,23,"$18,812.65",FALSE,AU-R-000927
BC 18320,2024-10-15 4:35 PM,Complete,Dominic Mika,6060,101,"$79,590.00",TRUE,AU-P-000518
BC 18319,2024-10-15 3:46 PM,Complete,Dominic Mika,2760,52,"$22,050.00",TRUE,AU-R-001307
BC 18318,2024-10-15 1:59 PM,Complete,Zak Young,820,15,"$7,627.60",TRUE,AU-R-001114
BC 18317,2024-10-15 10:53 AM,Complete,Zak Young,249,4,"$3,300.09",TRUE,AU-R-000101
BC 18316,2024-10-15 9:47 AM,Shipped,Nathan Eckhart,360,6,"$5,100.00",FALSE,AU-R-000943
BC 18315,2024-10-14 8:35 PM,Complete,Dustin Link,1480,28,"$12,470.00",FALSE,AU-P-000481
BC 18314,2024-10-14 4:29 PM,Shipped,Nathan Eckhart,1758,29,"$24,450.15",FALSE,AU-R-001300
BC 18313,2024-10-14 1:26 PM,Complete,Zak Young,370,6,"$5,160.10",TRUE,AU-R-000932
BC 18312,2024-10-14 12:41 PM,Complete,Zak Young,1310,24,"$12,215.10",TRUE,AU-R-000282
BC 18311,2024-10-14 12:22 PM,Shipped,Dustin Link,300,5,"$4,170.00",FALSE,AU-R-001081
BC 18310,2024-10-14 12:15 PM,Shipped,Dustin Link,600,10,"$8,340.00",FALSE,AU-R-000649
BC 18309,2024-10-14 12:13 PM,Complete,Dustin Link,790,14,"$8,785.20",TRUE,AU-R-000108
